"ID"	"First_Author"	"NIST_Author"	"Journal"	"Year"	"Volume"	"m_1st_Page"	"PDF_Avail"	"Instrument"	"CHRNS_"	"Title"	"Second_Author"	"Third_Author"	"m_4th_Plus_Authors"	"Topic"	"Subtopic"	"Abstract"
44	"Harris SP"	0	"Journal of Biological Chemistry"	"2003"	"278 (8)"	"6034"	1	"NG3SANS"	"CHRNS"	"Solution structure of heavy meromyosin by small-angle scattering"	"Heller WT"	"Greaser ML"	"Moss RL, Trewhella J"	"Biology"	"Structure of myosin"	"Elucidation of x-ray crystal structures for the S1 subfragment of myosin afforded atomic resolution of the nucleotide and actin binding sites of the enzyme. The structures have led to more detailed hypotheses regarding the mechanisms by which force generation is coupled to ATP hydrolysis. However, the three-dimensional structure of double-headed myosin consisting of two S1 subfragments has not yet been solved. Therefore, to investigate the overall shape and relative orientations of the two heads of myosin, we performed small-angle x-ray and neutron scattering measurements of heavy meromyosin containing all three light chains (LC1-3) in solution. The resulting small-angle scattering intensity profiles were best fit by models of the heavy meromyosin head-tail junction in which the angular separation between heads was less than 180 degrees. The S1 heads of the best fit models are not related by an axis of symmetry, and one of the two S1 heads is bent back along the rod. These results provide new information on the structure of the head-tail junction of myosin and indicate that combining scattering measurements with high resolution structural modeling is a feasible approach for investigating myosin head-head interactions in solution."
45	"Hassan PA"	0	"Journal of Colloid and Interface Science"	"2003"	"257 (1)"	"154"	1	"NG7SANS"	"NOT CHRNS"	"Small angle neutron scattering study of sodium dodecyl sulfate micellar growth driven by addition of a hydrotropic salt"	"Fritz G"	"Kaler EW"		"complex fluid"	"Micellar structure"	"Volumes < 261 not available online"
46	"Heath CH"	0	"Journal of Chemical Physics"	"2003"	"118 (12)"	"5465"	1	"NG7SANS"	"NOT CHRNS"	"Small angle neutron scattering from D2O-H2O nanodroplets and binary nucleation rates in a supersonic nozzle"	"Streletzky KA"	"Wyslouzil BE"	"Wölk J, Strey R"	"Complex fluids"	"Supersonic nozzle"	"Small angle neutron scattering (SANS) experiments were used to characterize binary nanodroplets composed of D2O and H2O. The droplets were formed by expanding dilute mixtures of condensible vapor in a N2 carrier gas through a supersonic nozzle, while maintaining the onset of condensation at a fixed position in the nozzle. It is remarkable, given the small coherent scattering length density of light water, that even the pure H2O aerosol gave a scattering signal above background. The scattering spectra were analyzed assuming a log-normal distribution of droplets. On average, the geometric radius of the nanodroplets rg was rg = 13 (±1) nm, the polydispersity ln r was ln r = 0.19 (±0.07), and the number density N was N = (2±0.2)·1011 cm–3. The aerosol volume fractions derived from the SANS measurements are consistent with those derived from the pressure trace experiments, suggesting that the composition of the droplets was close to that of the initial condensible mixture. A quantitative analysis of the scattering spectra as a function of the isotopic composition gave further evidence that the binary droplets exhibit ideal mixing behavior. Because both the stagnation temperature T0 and the location of onset were fixed, the temperature corresponding to the maximum nucleation rate was constant at TJ max = 229 (±1) K. Thus, the experiments let us estimate the isothermal peak nucleation rates as a function of the isotopic composition. The nucleation rates were found to be essentially constant with Jmax equal to (3.6±0.5)·1016 cm–3 s–1 at a mean supersaturation of 44 (±3)."
47	"Hecht AM"	0	"Physical Review E"	"2001"	"64 (4)"	"041402"	1	"NG3SANS"	"CHRNS"	"Structure of polymer solutions containing fumed silica"	"Horkay F"	"Geissler E"		"Polymers"	"Polymer mixtures"	"Small angle neutron scattering is employed to estimate the interactions in complex multicomponent systems. The method is applied to describe a ternary system, poly(dimethyl siloxane) toluene with silica filler particles. Contrast variation by solvent deuteration is used to distinguish the three different partial structure factors of filled polymer samples, Spp(q),  Spf(q), and Sff(q), where the subscripts p and f refer to polymer and filler. This procedure allows changes to be detected in the distribution of the polymer close to the solid surface. Independent dynamic light scattering measurements are used to validate the method. A comparison is made between the behavior of different filled poly(dimethyl siloxane) PDMS samples. It is found that the polymer distribution is perturbed in the vicinity of the solid surfaces. In the case of weak interactions, the solvent removes the polymer almost completely from the filler particles, while, when the interaction is strong, the surface remains covered."
48	"Hecht AM"	0	"Journal of Physical Chemistry B"	"2001"	"105 (24)"	"5637"	1	"NG3SANS"	"CHRNS"	"Neutron scattering investigations on a bimodal polymer gel"	"Horkay F"	"Geissler E"		"Polymers"	"Polymer gels"	"This study investigates structural similarities in polyfluorosilicone (PFSi) gels made by different cross-linking procedures, using small-angle neutron scattering (SANS). The scattering properties of gels prepared from long and short precursor chains and of the un-cross-linked polymer solutions are reported. The gel samples were cross-linked by two methods, hydrosilylation, and condensation curing. The scattering response of a bimodal gel made by hydrosilylation is compared with that of a monomodal gel made by condensation curing having nearly identical shear moduli. Significant differences in the microscopic structure are revealed by SANS. In the bimodal gels made by hydrosilylation, the scattering spectrum can be described by two characteristic length scales, one dynamic and one static. The condensation cured sample contains in addition very large structures, possibly due to solid precipitation as a byproduct of the condensation reaction. For this system at least three correlation lengths are thus required to define the scattering curve."
49	"Hedden RC"	1	"Macromolecules"	"2003"	"36 (6)"	"1829"	1	"NG1SANS"	"NOT CHRNS"	"Structure and dimensions of PAMAM/PEG dendrimer-star polymers"	"Bauer BJ"			"Polymers"	"Branched polymers"	"Dendrimer-star polymers are prepared by grafting monofunctional poly(ethylene glycol) (PEG) chains of low polydispersity onto the terminal groups of poly(amidoamine) (PAMAM) dendrimers. A novel gel permeation chromatography technique is used to calculate the average number of PEG branches (\"arms\") per star. The maximum number of PEG arms (of Mn = 5000 g mol-1) ranges from about 30 arms for a generation 3 dendrimer-star to about 750 arms for a generation 10 dendrimer-star. Radii of gyration of the stars are measured in dilute solution in a good solvent (methanol-d4) by small-angle neutron scattering (SANS). The stars have measured radii of gyration of about 6-14 nm. Theoretical dimensions of the stars in dilute solution in a good solvent are calculated by treating the stars as a shell of linear chains tethered to a spherical core. The radii of gyration computed from the core-shell model are consistent with the dilute solution values from SANS."
51	"Heller WT"	0	"Biochemistry"	"2002"	"41 (52)"	"15654"	1	"NG3SANS"	"CHRNS"	"The solution structure of a cardiac troponin C-troponin I-troponin T complex shows a somewhat compact troponin c interacting with an extended troponin I-Troponin T component"	"Abusamhadneh E"	"Finley N"	"Rosevear PR, Trewhella J"	"Biology"	"Interacting complexes"	"We have investigated the structure of the cTnC-cTnI-cTnT(198-298) calcium-saturated, ternary cardiac troponin complex by small-angle scattering with contrast variation. Shape restoration was also applied to the scattering information resulting from the deuterated cTnC subunit, the unlabeled cTnI-cTnT(198-298) subunits, and the entire complex. The experimental results and modeling indicate that cTnC adopts a partially collapsed conformation, while the cTnI-cTnT(198-298) components have an extended, rod-like structure. Shape restoration applied to the X-ray scattering data and the entire contrast variation series suggest that cTnC and the cTnI-cTnT(198-298) component lie with their long axes roughly parallel to one another with a relatively small surface area for interaction. Our findings indicate that the nature of the interactions between TnC and the TnI-TnT component differs significantly between the cardiac and skeletal isoforms as evidenced by the different degrees of compactness between the cardiac TnC and skeletal TnC in their respective ternary complexes and the fact that the cTnC subunit is not highly intertwined with the other subunits, as observed in the binary complex of the skeletal isoforms [Olah, G. A., and Trewhella, J. (1994) Biochemistry 33, 12800-12806]."
52	"Hentze HP"	0	"Topics in Current Chemistry"	"2003"	"226"	"197"	0	"NG3SANS"	"CHRNS"	"Templating vesicles, microemulsions, and lyotropic mesophases by organic polymerization processes"	"Co CC"	"McKelvey CA"	"et al."	"Complex fluids"	"Microemulsions"	"Journal not available online"
53	"Hentze HP"	0	"Current Opinion in Colloid & Interface Science"	"2003"	"8 (2)"	"164"	1	"NG3SANS"	"CHRNS"	"Polymerization of and within self-organized media"	"Kaler EW"			"Complex fluids"	"Clustering"	"Journal not available online"
54	"Hentze HP"	0	"Langmuir"	"2003"	"19 (4)"	"1069"	1	"NG3SANS"	"CHRNS"	"Silica hollow spheres by templating of catanionic vesicles"	"Raghavan SR"	"McKelvey CA"	"Kaler E"	"Complex fluid"	"Vesicles"	"A simple and effective means for obtaining hollow silica particles of controlled diameter from about 60 to 120 nm is presented. The synthesis utilizes equilibrium vesicles as templates for the directed growth of silica. Two different surfactant systems are used to form the vesicular templates: (a) mixtures of cetyltrimethylammonium bromide (CTAB) and sodium perfluorooctanoate (FC7) and (b) mixtures of cetyltrimethylammonium tosylate (CTAT) and sodium dodecylbenzenesulfonate (SDBS). These templates were chosen because these mixtures of surfactants in water form unilamellar vesicles spontaneously that appear stable in the chemical environment required for silica synthesis. Tetramethoxysilane (TMOS) is added to the vesicular templates as a precursor for silica formation via acid-catalyzed hydrolysis and polycondensation. The morphology of the silica products as observed with transmission electron microscopy (TEM), quasi-elastic light scattering (QLS), and small-angle neutron scattering (SANS) is consistent with silica deposition at the vesicle surface, creating hollow silica particles with a 1-2-nm-thick shell and with a core diameter identical to that of the template. TEM reveals under different conditions either discrete hollow particles or networks of linked or aggregated hollow silica shells."
